,MLII_filtered
0,-7.07738115915176e+33
1,-7.18303539620901e+33
2,-7.288751920726971e+33
3,-7.394516896669945e+33
4,-7.500312580343337e+33
5,-7.606121245698929e+33
6,-7.7119327572695e+33
7,-7.817752207441788e+33
8,-7.923602224245557e+33
9,-8.029514991916632e+33
10,-8.135512608749703e+33
11,-8.24158084026333e+33
12,-8.347648521206613e+33
13,-8.453589015359789e+33
14,-8.55925692797051e+33
15,-8.664560112485429e+33
16,-8.769545800999143e+33
17,-8.874458429181714e+33
18,-8.979718536773479e+33
19,-9.085790320061447e+33
20,-9.192955147659577e+33
21,-9.301077469127892e+33
22,-9.409503297042484e+33
23,-9.517216045933921e+33
24,-9.623245671290418e+33
25,-9.727127249070004e+33
26,-9.829110452092767e+33
27,-9.929982022680895e+33
28,-1.0030660275043172e+34
29,-1.0131858304241348e+34
30,-1.023398408109358e+34
31,-1.0337221766183496e+34
32,-1.0441616872332987e+34
33,-1.0547022582068265e+34
34,-1.0652902857972577e+34
35,-1.075814209964835e+34
36,-1.0861092203144165e+34
37,-1.096003058892633e+34
38,-1.105399352760036e+34
39,-1.114365267895898e+34
40,-1.1231673052822378e+34
41,-1.1322049030470128e+34
42,-1.1418435497074213e+34
43,-1.15222993266327e+34
44,-1.163211160522821e+34
45,-1.1744179215008865e+34
46,-1.1854518567571903e+34
47,-1.1960545418090718e+34
48,-1.2061735451793673e+34
49,-1.21592103905354e+34
50,-1.2254743391271527e+34
51,-1.2349782589567456e+34
52,-1.2444910601672419e+34
53,-1.2539876394158217e+34
54,-1.2634082495804474e+34
55,-1.2727247191702903e+34
56,-1.2819905043687684e+34
57,-1.291346105962423e+34
58,-1.3009673215680051e+34
59,-1.31096895640601e+34
60,-1.3213050490019063e+34
61,-1.33172555965739e+34
62,-1.3418396848188685e+34
63,-1.351282260358572e+34
64,-1.3598997113908338e+34
65,-1.3678337892799161e+34
66,-1.3754431808283395e+34
67,-1.3831210685102451e+34
68,-1.3911286989795268e+34
69,-1.3995273901971792e+34
70,-1.4082128228098285e+34
71,-1.4170040269557358e+34
72,-1.4257321205996793e+34
73,-1.4342939528483194e+34
74,-1.4426626050496151e+34
75,-1.4508664713685396e+34
76,-1.4589563073549487e+34
77,-1.4669769264626417e+34
78,-1.4749521917718038e+34
79,-1.4828837065810023e+34
80,-1.4907583592075431e+34
81,-1.4985584540627315e+34
82,-1.50626962748279e+34
83,-1.5138844401768355e+34
84,-1.5214019763749273e+34
85,-1.528825148816679e+34
86,-1.5361576100708385e+34
87,-1.543401581460454e+34
88,-1.5505570583983887e+34
